7,PB12 (XY26),--
8,PB13 (XY27),--
9,PA12,--
10,PA13,--
11,PA16 (XY10),--
12,PA19 (XY13),--
13,PA17 (XY11),--
14,PA18 (XY12),--
15,GND,--
16,PA8 (XY6),--
17,PA9 (XY7),--
18,PB14 (XY28),--
19,PA6 (XY4),--
20,PA22 (XY16),--
21,PA23 (XY17),--
22,PA20 (XY14),--
23,PA21 (XY15),--
24,GND,--
25,PB2 (XY20),--
26,PB31,--
27,PB22,--
28,PB15 (XY29),--
29,PB11,--
30,PB10,--
31,PA3,--
32,PB23,--
33,GND,--
34,PA5,--
35,PA27 (XY18),--
36,PB0 (XY30),--
37,PB1 (XY31),--
38,PB7 (XY25),--
39,PB6 (XY24),--
40,PB5 (XY23),--
41,PB4 (XY22),--
42,GND,--
43,PA2 (XY0),--
44,PB3 (XY21),--
45,PB8 (XY1),--
46,PA10 (XY8),--
47,PA11 (XY9),--
48,PB9 (XY26),--
49,PA4 (XY3),--
50,PA7 (XY5),--
